DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,93 tỷ",Saigon Riverside Complex Q7,68 m²,Chưa bàn giao,"28,38 triệu/m²",2 phòng,2 phòng,,,,,,
"7A, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,75 tỷ",,57 m²,Đã bàn giao,"30,7 triệu/m²",1 phòng,,3,,,Đông Nam,Nam,
"Vinhome Grand Park, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,254 tỷ",,59 m²,Chưa bàn giao,"55,15 triệu/m²",2 phòng,,,,,,,
"Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","2,8 tỷ",La Partenza,78 m²,Chưa bàn giao,"35,9 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"205, Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh","1,51 tỷ",Cao ốc RES 11 (Residence Eleven),70 m²,Đã bàn giao,"21,57 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","2,4 tỷ",Akari City,56 m²,Chưa bàn giao,"42,86 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nhà trống,,,
"Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,6 tỷ",Chung cư Đông Hải,63 m²,Đã bàn giao,"25,4 triệu/m²",2 phòng,2 phòng,14,,,,Đông Bắc,
"Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,95 tỷ",,77 m²,Đã bàn giao,"25,32 triệu/m²",2 phòng,2 phòng,4,,,,,
"Đường Đào Trinh Nhất, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",250 triệu,,53 m²,Chưa bàn giao,"4,72 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Tây Bắc,
"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,95 tỷ",Hưng Ngân Garden,68 m²,Đã bàn giao,"28,68 triệu/m²",2 phòng,2 phòng,16,,,,,
"265-197, 265-197 Đường số 9A, Khu chức năng 6A, Khu dân cư Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, TP Hồ Chí Minh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,5 tỷ",Saigon Mia,78 m²,Đã bàn giao,"44,87 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"9A, Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,035 tỷ",PiCity High Park,58 m²,Đã bàn giao,"35,09 triệu/m²",2 phòng,1 phòng,,,,,,
"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","1,47 tỷ",Riva Park,82 m²,Đã bàn giao,"17,93 triệu/m²",2 phòng,2 phòng,,,,,,
"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","1,9 tỷ",City Gate Towers,73 m²,Chưa bàn giao,"26,03 triệu/m²",2 phòng,2 phòng,,,,,,
"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,3 tỷ",Flora Novia,56 m²,Đã bàn giao,"41,07 triệu/m²",2 phòng,1 phòng,,,,,,
"Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","2,5 tỷ",Diamond Riverside (City Gate Towers 2),78 m²,Đã bàn giao,"32,05 triệu/m²",2 phòng,2 phòng,8,,,,Bắc,
"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,41 tỷ",Topaz City,79 m²,Đã bàn giao,"17,85 triệu/m²",2 phòng,2 phòng,,,,,,
"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","2,1 tỷ",Toky Tower,61 m²,Đã bàn giao,"34,43 triệu/m²",2 phòng,2 phòng,12,,,,Tây,
"10A, Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","2,1 tỷ",Toky Tower,61 m²,Đã bàn giao,"34,43 triệu/m²",2 phòng,2 phòng,11,,,,,
"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,5 tỷ",Lumiere Boulevard,70 m²,Chưa bàn giao,"64,29 triệu/m²",2 phòng,,,,,,,
"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","5,1 tỷ",Kingdom 101,71.84 m²,Đã bàn giao,"70,99 triệu/m²",2 phòng,2 phòng,22,,,,,
"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",650 triệu,,34 m²,Chưa bàn giao,"19,12 triệu/m²",2 phòng,1 phòng,1,,,,Đông,
"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","2,05 tỷ",Green Town Bình Tân,68 m²,Đã bàn giao,"30,15 triệu/m²",2 phòng,2 phòng,,,,,,
"Lô P5, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","2,97 tỷ",Riverside Residence,1 m²,Đã bàn giao,"2,97 tỷ/m²",3 phòng,,,,,,,
"295, Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","1,52 tỷ",An Gia Garden,1 m²,Đã bàn giao,"1,52 tỷ/m²",2 phòng,,,,,,,
"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","1,85 tỷ",Riva Park,1 m²,Đã bàn giao,"1,85 tỷ/m²",2 phòng,,,,,,,
